"","type","doy","site","sedDepth","ch4_ppm","omit","ch4_sedvol","X","bulk_density","porosity","orgmatter","pch4_head","tKH_ch4","ch4_head","ch4_aq","vol_poresol","vol_porewater","ch4_tot_umol","ch4_porewater"
"33","Core",159,"G1",5,0.58483,"",3,NA,1.1959,0.489433333333333,1.40758703347547,5.789817e-07,0.00142,0.0236530345576038,0.000822154014,68.4683,1.4683,0.000512909098548832,0.493466144213832
"34","Core",159,"G1",10,0.14565,"",3,NA,1.30176666666667,0.443566666666667,1.18556833021792,1.441935e-07,0.00142,0.00589071094730946,0.00020475477,68.3307,1.3307,0.000127710160308628,0.135686949135538
"35","Core",159,"G1",15,0.59391,"",3,NA,1.21983333333333,0.421499999999999,1.04112583686296,5.879709e-07,0.00142,0.0240202687175871,0.000834918678,68.2645,1.2645,0.000520702306886073,0.582421998504008
"36","Core",159,"G1",20,0.2747,"",3,NA,1.28683333333333,0.402833333333334,1.34179510426108,2.71953e-07,0.00142,0.0111100466682177,0.00038617326,68.2085,1.2085,0.000240817766969064,0.28194003573885
"37","Core",159,"G2",1,44.93327,"",2,NA,0.9166,0.409,1.37900938250055,4.44839373e-05,0.00142,1.8172942360962,0.063167190966,68.818,0.817999999999999,0.0394295806505023,67.9502280163773
"38","Core",159,"G2",5,121.46583,"",3,NA,1.34605,0.45195,2.02444188551688,0.0001202511717,0.00142,4.91259934435311,0.170756663814,68.35585,1.35585,0.106509070508952,111.045666624479
"39","Core",159,"G2",10,90.3668,"",3,NA,1.19436666666667,0.331966666666666,1.31450420027352,8.9463132e-05,0.00142,3.65482113308153,0.12703764744,67.9959,0.995899999999999,0.0791937088843961,112.655795113059
"40","Core",159,"G2",15,0.53278,"",3,NA,1.28446666666667,0.354533333333332,1.11070742720716,5.274522e-07,0.00142,0.0215479092242193,0.000748982124,68.0636,1.0636,0.000466956961699472,0.621723302353827
"41","Core",159,"S0",1,1.92668,"",3,NA,0.1857,0.6463,14.7549811523963,1.9074132e-06,0.00142,0.0779232060965479,0.002708526744,68.9389,1.9389,0.0016910164414029,1.22857752278665
"42","Core",159,"S0",5,0.80538,"",3,NA,0.249466666666667,0.589866666666666,14.0299305184393,7.973262e-07,0.00142,0.0325730228818682,0.001132203204,68.7696,1.7696,0.000706677555015161,0.563110328031896
"43","Core",159,"S0",10,0.49945,"",2,NA,0.333933333333334,0.733733333333333,13.2361748852066,4.944555e-07,0.00142,0.0201999010136197,0.00070212681,69.4674666666667,1.46746666666667,0.000438730454841842,0.419847265405086
"44","Core",159,"S0",15,0.3697,"",1,NA,0.192533333333333,0.771466666666666,61.3919667590027,3.66003e-07,0.00142,0.0149522542891885,0.00051972426,69.7714666666667,0.771466666666666,0.000324912524466219,0.59040047773389
"45","Core",159,"S0",20,0.17733,"",1.5,NA,0.189550000000001,0.84695,60.8282774993406,1.755567e-07,0.00142,0.00717198607817636,0.000249290514,69.770425,1.270425,0.000155847016393776,0.171968728466789
"46","Core",159,"Y0",1,1.63288,"",3,NA,0.139266666666667,0.803066666666667,26.232647199617,1.6165512e-06,0.00142,0.0660406734750613,0.002295502704,69.4092,2.4092,0.0014342324217037,0.836288063273124
"47","Core",159,"Y0",5,0.82677,"",3,NA,0.1885,0.861,24.4031830238726,8.185023e-07,0.00142,0.0334381262609478,0.001162273266,69.583,2.583,0.000726391520567034,0.394654181460808
"48","Core",159,"Y0",10,0.38503,"",3,NA,0.190866666666667,0.760133333333333,29.0778903248341,3.811797e-07,0.00142,0.015572265266341,0.000541275174,69.2804,2.2804,0.000338119562411609,0.208446893953713
