"","site","doy","surface_temp","surface_DO_mgL","surface_DO_sat","surface_SpCond","Notes.x","ch4_lake_surface","n2o_lake_surface","bottom_depth","bottom_temp","bottom_DO_mgL","bottom_DO_sat","bottom_SpCond","Notes.y","ch4_lake_bottom","n2o_lake_bottom"
"64","S0",257,17.8,6.77,72,719,"",5.54204226348976,0.101295626514108,0.75,17.8,6.82,72,718,"",6.29196564688049,0.101103057375304
"65","S0",270,17.1,9.94,104.6,0,"",5.03910144796649,0.119981373310036,1.25,16,8.06,78.4,751,"",4.27119317026394,0.111281954399853
"66","Y0",146,24,NA,137.4,0.1,"",5.86537036073127,0,NA,NA,NA,NA,NA,NA,NA,NA
"67","Y0",159,26.7,8.12,101.3,2.1,"",3.88287956788247,0,1,26.5,8.42,104.6,564,"",2.52940479454117,0
"68","Y0",173,21.7,11.15,127.1,515,"",2.74570153473611,0,1,21.7,10.98,125.5,514,"",0.502691334483076,0
"69","Y0",187,27,6.97,87.4,5.8,"",3.37246523478147,0.074624678574897,1.25,26.9,5.32,66.8,566,"",3.01005470311275,0.0671677522154331
"70","Y0",203,24.4,6.1,72.8,0.1,"",6.23278211228287,0.116774735880886,1.25,24.5,5.86,70.4,565,"",6.46812930311547,0.109763764961902
"71","Y0",215,23.6,7.45,87.9,16.1,"",6.06894720408051,0.121881692021023,1.25,23.6,7.6,89.2,598,"",6.10111502753659,0.121781313770882
"72","Y0",229,24.6,6.67,80.5,5.7,"",6.37109043695865,0.151148903243551,1.25,24.6,6.53,78.5,577,"",6.81102162954356,0.151516450639303
"73","Y0",243,24.7,6.4,74.8,0.1,"",6.34124070774562,0.149393221836869,1,25.3,5.75,70.1,598,"",6.06699962681523,0.140117315916115
"74","Y0",257,21,7.31,82.3,613,"",2.00146503208371,0.0857507618651462,1,21,6.68,74.2,613,"",1.80170596033889,0.0764699373528147
"75","Y0",270,17.5,10.05,105.2,9.6,"",2.25657902363495,0.0562814809261516,1.25,17.3,10.57,110.2,609,"",2.10780519918987,0.0545678034110049
"76","Y1",146,23.4,NA,112.4,0.1,"",0.393222042128333,0,1.75,23.4,NA,113.2,641,"",0.386522825630518,0
"77","Y1",159,26.1,13.04,161.3,541,"",1.95968493436733,0,1.5,25.7,11.46,140.8,545,"",1.58090595699582,0
"78","Y1",173,22.1,8.89,101.8,43,"",2.53814835386264,0,1.75,22.2,8.09,93.1,554,"",-0.0107715081009013,0
"79","Y1",187,27,8.41,105.8,0.1,"",1.51594470693209,0.0106293812707974,1.75,27.2,7.21,90.7,516,"",1.6470488696102,0.00957951378034503
"80","Y1",203,23.7,9.77,116,7.2,"",1.87688950659664,0.0204543408563478,1.5,24.1,9.77,116.4,530,"",1.20277110102674,0.0167267448996971
"81","Y1",215,24.3,15.33,184.3,1.8,"",1.46579018016659,0.016154021167683,1.5,24,7.61,90.8,540,"",4.0569418093029,0.0236663897050506
"82","Y1",229,25.3,12.23,149.4,3.2,"",1.92663023381885,0.0234943932782207,1.75,24.4,8.78,105.4,509,"",1.7376996686268,0.0182338155666669
"83","Y1",243,25.9,14.31,177.5,2.4,"",2.65648703095885,0.0121957333424976,1.5,25.9,13.04,160.1,505,"",3.82351744839134,0.0112027903107784
"84","Y1",257,21.5,8.74,99.5,501,"",0.889892225354994,0.0130405417364699,1.75,21.4,8.81,99.8,504,"",0.890280710940425,0.0131425864224443
"85","Y1",270,18.8,9.51,100.5,11.5,"",0.788700658148467,0.0167052878639388,1.75,17.9,8.8,92.6,533,"",0.746464701036332,0.0175203902612117
"86","Y2",146,19.7,NA,127,0.1,"",0.326352880759905,0,1.75,19.3,NA,137.1,570,"",0.0406181296741848,0
"87","Y2",159,26.2,9.72,120.4,0,"",1.54595438909892,0,1.5,25.7,7.07,87.1,566,"",2.0189589586494,0
"88","Y2",173,21.7,9.75,111.5,0.1,"",1.72289529275404,0,1.25,21.7,9.53,107.6,548,"",-0.0152421426125422,0
"89","Y2",187,27.5,11.2,142.2,5.3,"",0.566913482269906,0.0121110324042454,1.5,26.8,9.56,119,502,"",0.607074126430883,0.0131033638637727
"90","Y2",203,23.4,9.07,106.6,0.1,"",0.856798737372778,0.0105716447669103,1,23.5,9.08,106.2,508,"",0.831858759059636,0.0104585251778988
"91","Y2",215,24.8,14.01,169.1,2.3,"",0.866880720227761,0.0114802477821086,1.25,24.5,10.81,130.1,509,"",1.60904309444598,0.0127204233267623
"92","Y2",229,25.7,10.94,133.9,3.5,"",1.63860424603558,0.0218346545060766,1.25,25.2,12.31,149.5,512,"",1.68964610111528,0.0228064443008186
"93","Y2",243,25.7,12.68,156.2,0.1,"",1.61579768117331,0.0123031011313808,1,25.7,11.88,144.9,493.4,"",1.53750466849371,0.0120196332286539
